Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"86.71398896326724, 140.27598729072014",4.97745846299497,7.0,Песок,Плато,Средняя,Нет,Неравномерное,2,Сдвиговые,Волнообразные,79,Дождь,Не доступны,Установлены,Низкая,Пассивные
"19.278053338563133, 19.931680061017403",95.03209312094302,7.7,Глина,Гора,Средняя,Да,Равномерное,7,Горизонтальные,Тектонические,35,Снег,Не доступны,Не установлены,Высокая,Активные
"33.024338895911484, -86.4145801537572",81.84241965024007,6.6,Песок,Гора,Высокая,Нет,Равномерное,7,Сдвиговые,Вулканические,44,Солнечно,Не доступны,Установлены,Средняя,Активные
"0.8026875660818278, -32.60649847585577",54.06137765389759,6.9,Песок,Ложе реки,Высокая,Да,Равномерное,7,Вертикальные,Тектонические,62,Пасмурно,Не доступны,Установлены,Высокая,Активные
"58.26760141122277, 34.58255891353872",43.42835700382575,4.5,Скала,Гора,Низкая,Да,Неравномерное,4,Вертикальные,Волнообразные,100,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"0.8645516153248622, -162.0986342223826",98.26135023290261,3.6,Скала,Равнина,Высокая,Да,Равномерное,5,Вертикальные,Тектонические,39,Дождь,Не доступны,Не установлены,Низкая,Активные
"9.136190427989787, 71.25253918217314",84.26961520368576,6.9,Глина,Гора,Высокая,Нет,Равномерное,1,Горизонтальные,Вулканические,60,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"76.18596118087007, 147.66905325791254",61.990039497495275,7.2,Песок,Ложе реки,Средняя,Да,Равномерное,3,Вертикальные,Волнообразные,89,Солнечно,Не доступны,Не установлены,Средняя,Активные
"75.51938571308243, 136.43392287252306",92.6536028350461,2.1,Скала,Ложе реки,Низкая,Да,Равномерное,9,Вертикальные,Тектонические,97,Солнечно,Доступны,Установлены,Высокая,Пассивные
"0.33338616723553205, -116.1652012861947",17.951140289995887,5.4,Глина,Плато,Низкая,Да,Неравномерное,5,Вертикальные,Тектонические,17,Солнечно,Не доступны,Установлены,Низкая,Пассивные
"48.730861907192555, -118.36127523669171",54.18275230963284,3.2,Глина,Ложе реки,Средняя,Да,Неравномерное,4,Горизонтальные,Волнообразные,14,Солнечно,Доступны,Установлены,Низкая,Пассивные
"43.01241235765888, -4.945080916008436",21.11740572337926,5.2,Песок,Плато,Низкая,Нет,Неравномерное,6,Сдвиговые,Тектонические,62,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"86.34022223300992, 38.01330120774918",41.071578654924785,1.5,Песок,Гора,Низкая,Нет,Равномерное,6,Сдвиговые,Вулканические,83,Солнечно,Доступны,Установлены,Средняя,Активные
"35.21219874745933, 73.21576540811697",58.752174777884726,2.5,Песок,Плато,Высокая,Нет,Равномерное,5,Сдвиговые,Вулканические,37,Снег,Не доступны,Не установлены,Высокая,Активные
"23.301327544895567, 173.41614020769333",72.84277380164099,4.9,Глина,Гора,Высокая,Да,Неравномерное,8,Горизонтальные,Вулканические,56,Снег,Не доступны,Установлены,Высокая,Пассивные
"54.66009620351181, 37.99068694405628",83.511011687287,3.2,Глина,Равнина,Высокая,Да,Равномерное,5,Сдвиговые,Тектонические,18,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"67.01228056739414, -2.6752593178396467",54.51878175145578,5.5,Глина,Гора,Средняя,Да,Неравномерное,7,Сдвиговые,Волнообразные,85,Дождь,Не доступны,Не установлены,Средняя,Активные
"30.319953496381334, -23.362162325672926",84.80176741696508,2.4,Скала,Гора,Средняя,Нет,Равномерное,4,Сдвиговые,Тектонические,27,Дождь,Не доступны,Установлены,Низкая,Активные
"75.40083421693613, 131.92563178373342",13.771051428500856,2.6,Песок,Равнина,Низкая,Да,Равномерное,9,Сдвиговые,Тектонические,38,Снег,Доступны,Не установлены,Высокая,Активные
"51.87928040372519, 150.4945814357643",80.97213142278999,4.9,Песок,Равнина,Средняя,Да,Равномерное,6,Сдвиговые,Вулканические,81,Пасмурно,Не доступны,Установлены,Средняя,Активные
"73.32014966519313, 91.07027566701885",63.08325355465381,3.8,Гравий,Гора,Высокая,Нет,Равномерное,8,Вертикальные,Вулканические,88,Снег,Не доступны,Не установлены,Высокая,Активные
"68.65635399202961, -64.6207964872366",35.87266635830781,6.0,Скала,Плато,Высокая,Нет,Неравномерное,2,Горизонтальные,Вулканические,53,Пасмурно,Доступны,Не установлены,Низкая,Пассивные
"55.87078698690973, 32.0033296610373",83.83284737499474,6.3,Скала,Гора,Высокая,Нет,Равномерное,9,Сдвиговые,Вулканические,35,Снег,Доступны,Не установлены,Низкая,Пассивные
"32.81366735187175, 68.48885876706373",56.910245288207804,3.6,Глина,Ложе реки,Низкая,Нет,Неравномерное,8,Горизонтальные,Вулканические,62,Дождь,Доступны,Установлены,Высокая,Активные
"66.15203277620813, -157.2129568940577",7.967556345326573,2.0,Песок,Плато,Низкая,Да,Равномерное,5,Горизонтальные,Вулканические,31,Дождь,Не доступны,Установлены,Средняя,Активные
"39.41020549069794, 87.04702048607982",85.2924246941246,4.9,Гравий,Равнина,Высокая,Да,Равномерное,8,Вертикальные,Вулканические,72,Пасмурно,Доступны,Установлены,Низкая,Активные
"80.03467297067805, -54.06819009485591",62.44424324291889,1.2,Гравий,Равнина,Средняя,Нет,Равномерное,10,Сдвиговые,Тектонические,2,Снег,Доступны,Не установлены,Высокая,Пассивные
"32.87170756028127, 134.23081327207757",80.37609723553828,4.1,Глина,Гора,Средняя,Нет,Неравномерное,4,Горизонтальные,Вулканические,89,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"16.6674772385044, -139.4164106569591",31.399953913707684,7.4,Скала,Гора,Средняя,Нет,Неравномерное,3,Горизонтальные,Тектонические,15,Пасмурно,Доступны,Не установлены,Средняя,Активные
"87.40349572087848, -120.25420143344081",7.828865125023372,7.5,Скала,Гора,Низкая,Нет,Неравномерное,3,Вертикальные,Тектонические,17,Дождь,Не доступны,Не установлены,Высокая,Активные
"0.9292074467853206, 92.86948941789916",90.41029155270844,7.2,Глина,Плато,Средняя,Нет,Неравномерное,3,Вертикальные,Тектонические,9,Снег,Не доступны,Не установлены,Средняя,Активные
"57.6000469638207, -66.97412524127526",73.44777360652131,3.1,Скала,Плато,Средняя,Нет,Неравномерное,4,Вертикальные,Тектонические,43,Солнечно,Доступны,Не установлены,Низкая,Активные
"5.242262490459018, 39.30011998034681",92.86659770621964,3.1,Гравий,Плато,Средняя,Да,Неравномерное,9,Вертикальные,Тектонические,96,Солнечно,Доступны,Установлены,Высокая,Активные
"49.46606065576795, -12.858759561595832",57.93173186041738,2.8,Скала,Ложе реки,Средняя,Да,Неравномерное,8,Вертикальные,Волнообразные,57,Снег,Не доступны,Установлены,Низкая,Активные
"69.26149975788083, 150.98143446056628",23.150228908659685,1.6,Песок,Ложе реки,Средняя,Нет,Неравномерное,10,Вертикальные,Тектонические,4,Снег,Не доступны,Установлены,Низкая,Пассивные
"8.408168050446585, -106.7296865521987",97.34020651266212,4.6,Песок,Ложе реки,Низкая,Да,Неравномерное,6,Вертикальные,Тектонические,43,Солнечно,Доступны,Не установлены,Средняя,Активные
"39.720162145755545, 150.99057710230136",4.062425753190263,2.6,Глина,Ложе реки,Низкая,Нет,Равномерное,8,Сдвиговые,Волнообразные,34,Дождь,Доступны,Не установлены,Низкая,Пассивные
"15.54173791897275, 79.22433310957445",47.79425976479867,2.9,Скала,Равнина,Высокая,Нет,Неравномерное,9,Сдвиговые,Волнообразные,19,Снег,Доступны,Не установлены,Низкая,Пассивные
"74.52193004012794, -114.63129947118658",94.38932990353536,1.2,Гравий,Ложе реки,Средняя,Да,Неравномерное,5,Вертикальные,Волнообразные,36,Дождь,Доступны,Не установлены,Низкая,Пассивные
"81.34387893137837, -4.69472129399324",42.294028042923024,3.7,Скала,Плато,Низкая,Нет,Равномерное,4,Горизонтальные,Вулканические,69,Снег,Не доступны,Установлены,Высокая,Активные
"87.79096992119995, 108.16928541445509",41.29502251423131,7.0,Гравий,Плато,Низкая,Да,Неравномерное,2,Сдвиговые,Волнообразные,63,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"43.895637338867765, 84.4107933429604",77.87528851998572,1.8,Песок,Плато,Низкая,Да,Неравномерное,9,Вертикальные,Тектонические,34,Солнечно,Доступны,Не установлены,Высокая,Активные
"50.17104247463119, -122.60636018210587",89.72265018827001,3.2,Скала,Равнина,Средняя,Да,Равномерное,6,Вертикальные,Волнообразные,90,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"4.004115857383729, 117.65802493694684",43.45670554814772,1.2,Глина,Ложе реки,Средняя,Нет,Равномерное,6,Вертикальные,Тектонические,12,Солнечно,Доступны,Установлены,Средняя,Пассивные
"57.97031749862493, 80.36190248775853",46.19657944191261,5.0,Песок,Равнина,Низкая,Да,Неравномерное,4,Горизонтальные,Вулканические,1,Пасмурно,Доступны,Не установлены,Средняя,Активные
"28.628979840248967, 113.58026817604969",7.688690170905668,5.4,Глина,Ложе реки,Низкая,Да,Неравномерное,9,Сдвиговые,Тектонические,57,Пасмурно,Не доступны,Установлены,Средняя,Активные
"51.399509287686186, 123.59272148551617",65.37634452280132,4.1,Песок,Ложе реки,Высокая,Нет,Равномерное,8,Горизонтальные,Волнообразные,85,Снег,Доступны,Не установлены,Низкая,Активные
"1.7587206212873685, 108.4588974448435",84.3230390130332,6.3,Песок,Гора,Низкая,Нет,Неравномерное,8,Сдвиговые,Тектонические,51,Дождь,Не доступны,Установлены,Низкая,Пассивные
"1.2025281496294415, -30.84625354967406",30.978331785810454,2.4,Песок,Ложе реки,Высокая,Нет,Равномерное,8,Горизонтальные,Тектонические,20,Снег,Не доступны,Установлены,Высокая,Активные
"15.7650118946583, -64.7975427242778",9.250137228333285,6.4,Песок,Плато,Низкая,Да,Равномерное,9,Сдвиговые,Волнообразные,77,Дождь,Доступны,Не установлены,Высокая,Активные
"11.303662388841534, -74.12820261327474",17.788750578982793,4.0,Гравий,Равнина,Высокая,Да,Равномерное,6,Вертикальные,Волнообразные,18,Пасмурно,Не доступны,Установлены,Высокая,Активные
"37.965812823195904, -179.34075986728908",28.880183197379537,2.1,Песок,Ложе реки,Низкая,Да,Равномерное,5,Сдвиговые,Вулканические,42,Дождь,Доступны,Не установлены,Высокая,Активные
"84.2360038135229, 135.76370710936635",81.71585638905381,6.1,Песок,Равнина,Высокая,Да,Неравномерное,4,Вертикальные,Вулканические,9,Солнечно,Не доступны,Не установлены,Низкая,Активные
"84.33580403732984, 167.17588691365017",93.09178846671028,1.3,Глина,Ложе реки,Низкая,Да,Равномерное,1,Сдвиговые,Вулканические,66,Дождь,Не доступны,Установлены,Высокая,Активные
"44.73685831839144, -171.68781459497956",55.67472799899926,5.4,Скала,Ложе реки,Средняя,Да,Неравномерное,4,Горизонтальные,Тектонические,93,Дождь,Не доступны,Не установлены,Высокая,Активные
"56.62267540796402, -112.98510525561277",24.002719005523108,3.4,Глина,Равнина,Высокая,Да,Неравномерное,10,Вертикальные,Вулканические,21,Дождь,Доступны,Установлены,Высокая,Активные
"41.62698600632849, -113.34784079537687",28.221533219987712,4.0,Глина,Ложе реки,Высокая,Нет,Равномерное,9,Сдвиговые,Волнообразные,50,Снег,Не доступны,Установлены,Средняя,Активные
"55.047472073389144, 155.3389026175651",84.61664157259489,3.9,Глина,Ложе реки,Средняя,Да,Равномерное,9,Вертикальные,Вулканические,94,Снег,Доступны,Не установлены,Высокая,Активные
"74.80762589087665, 8.71924680805671",36.964027343073866,5.2,Гравий,Равнина,Высокая,Нет,Неравномерное,3,Горизонтальные,Тектонические,49,Дождь,Доступны,Установлены,Высокая,Пассивные
"77.87792026022126, 72.58311384702534",27.98343136836174,6.6,Скала,Плато,Средняя,Нет,Неравномерное,4,Сдвиговые,Вулканические,74,Дождь,Не доступны,Установлены,Средняя,Активные
"52.93305640225812, -97.79704730755536",52.309520311062194,5.7,Песок,Плато,Высокая,Нет,Равномерное,5,Вертикальные,Вулканические,67,Снег,Не доступны,Не установлены,Средняя,Пассивные
"59.94353684082184, -121.61084571340723",6.487843969906333,4.3,Скала,Плато,Высокая,Нет,Равномерное,1,Вертикальные,Волнообразные,90,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"87.64005521220514, -33.04280507630705",43.49057295375157,4.3,Глина,Равнина,Средняя,Да,Равномерное,1,Вертикальные,Тектонические,8,Снег,Не доступны,Не установлены,Высокая,Пассивные
"6.825057656082196, -90.47788795187184",69.77399882780757,7.9,Песок,Равнина,Средняя,Да,Равномерное,1,Горизонтальные,Вулканические,79,Дождь,Доступны,Не установлены,Средняя,Пассивные
"14.431668527711995, -123.04407176195255",89.54037104035228,6.4,Глина,Плато,Низкая,Да,Неравномерное,4,Горизонтальные,Волнообразные,91,Дождь,Не доступны,Не установлены,Высокая,Активные
"46.62126022847937, 146.04383874554935",2.173052880565728,6.2,Глина,Гора,Высокая,Нет,Неравномерное,7,Вертикальные,Вулканические,80,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"74.43619788795769, -52.11337911126405",67.73192552233279,2.3,Песок,Равнина,Средняя,Да,Равномерное,10,Сдвиговые,Тектонические,31,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"55.70897368142243, -109.50085915736402",75.48217320898075,3.8,Гравий,Гора,Низкая,Да,Равномерное,1,Сдвиговые,Тектонические,43,Пасмурно,Не доступны,Установлены,Низкая,Активные
"25.029537833313377, 56.88232371008263",8.904322529907088,6.2,Глина,Ложе реки,Низкая,Да,Равномерное,9,Горизонтальные,Волнообразные,38,Снег,Не доступны,Не установлены,Высокая,Активные
"64.45274565350243, -17.40498381536412",50.616358703650185,4.9,Глина,Гора,Средняя,Да,Неравномерное,4,Вертикальные,Волнообразные,14,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"48.90233221161533, 158.8035971489378",79.13161615273799,1.4,Глина,Плато,Средняя,Нет,Равномерное,10,Сдвиговые,Вулканические,98,Дождь,Не доступны,Установлены,Средняя,Пассивные
"44.31046041969579, 135.1855192177161",1.9670947267997194,6.5,Глина,Ложе реки,Низкая,Да,Равномерное,5,Вертикальные,Тектонические,12,Снег,Доступны,Установлены,Средняя,Активные
"72.99211659547635, 117.71867975724297",96.38626085634039,6.8,Глина,Ложе реки,Высокая,Нет,Равномерное,3,Сдвиговые,Вулканические,11,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"9.236229043505247, 66.9463475744144",19.98582124868046,5.4,Песок,Ложе реки,Средняя,Да,Равномерное,7,Вертикальные,Тектонические,13,Пасмурно,Доступны,Не установлены,Низкая,Активные
"70.25692952810368, 154.37775044280096",37.67583158235226,2.9,Глина,Ложе реки,Средняя,Да,Равномерное,10,Сдвиговые,Тектонические,56,Пасмурно,Доступны,Установлены,Высокая,Активные
"80.98733423731079, -138.40337739932355",4.240160812361314,5.6,Глина,Плато,Высокая,Нет,Неравномерное,7,Горизонтальные,Волнообразные,14,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"10.743489463493813, -169.56161676808767",4.679462542687474,3.2,Песок,Плато,Высокая,Да,Неравномерное,4,Сдвиговые,Волнообразные,49,Снег,Не доступны,Не установлены,Средняя,Пассивные
"35.69814392255828, -168.79631608936418",23.38123654191735,6.6,Песок,Плато,Низкая,Да,Неравномерное,3,Сдвиговые,Тектонические,66,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"1.7159627780838316, -131.8261131360476",64.45590304622615,3.2,Гравий,Гора,Средняя,Нет,Равномерное,8,Сдвиговые,Тектонические,23,Солнечно,Доступны,Установлены,Средняя,Пассивные
"47.376957057004795, -179.67061288746098",45.91547000342152,1.5,Глина,Равнина,Низкая,Нет,Равномерное,6,Горизонтальные,Вулканические,34,Солнечно,Не доступны,Не установлены,Средняя,Активные
"16.22642826517161, -134.16692249471012",92.62149252079527,5.4,Песок,Плато,Низкая,Нет,Равномерное,8,Горизонтальные,Тектонические,46,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"10.632705623093743, -74.46205173327523",29.35834445020616,2.7,Глина,Ложе реки,Высокая,Нет,Равномерное,9,Горизонтальные,Волнообразные,4,Снег,Доступны,Установлены,Высокая,Активные
"40.98314054293087, 51.422022210863844",68.0835862563726,7.5,Песок,Плато,Высокая,Нет,Неравномерное,9,Вертикальные,Вулканические,30,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"35.9526754471122, -13.026506048795596",12.241058330610532,1.4,Гравий,Гора,Средняя,Да,Неравномерное,5,Горизонтальные,Волнообразные,43,Снег,Доступны,Установлены,Низкая,Активные
"6.178374064886032, -113.9159349874551",14.353100864903759,3.5,Гравий,Гора,Средняя,Нет,Неравномерное,9,Горизонтальные,Вулканические,44,Снег,Не доступны,Установлены,Средняя,Активные
"24.20055820478967, 19.775397079443792",86.84885287701312,4.9,Скала,Гора,Средняя,Нет,Равномерное,6,Сдвиговые,Тектонические,64,Снег,Доступны,Не установлены,Высокая,Активные
"0.9855032569544875, -116.55150074968819",42.763422902810014,3.3,Скала,Ложе реки,Средняя,Да,Неравномерное,4,Сдвиговые,Вулканические,83,Пасмурно,Не доступны,Установлены,Высокая,Пассивные
"44.38562395106239, 174.10235120499914",52.59935718614752,5.1,Глина,Плато,Низкая,Нет,Неравномерное,6,Вертикальные,Тектонические,21,Снег,Доступны,Установлены,Средняя,Активные
"2.893738440228023, -154.7692141366446",89.72847744896265,5.6,Песок,Равнина,Низкая,Да,Неравномерное,3,Вертикальные,Вулканические,45,Дождь,Доступны,Не установлены,Средняя,Пассивные
"9.784209233490932, -54.91041260302521",47.75225171291628,2.3,Песок,Плато,Средняя,Нет,Равномерное,8,Сдвиговые,Вулканические,100,Солнечно,Не доступны,Не установлены,Высокая,Активные
"50.546264421964, 103.58047686131806",52.298234106304115,2.3,Скала,Плато,Высокая,Нет,Равномерное,1,Вертикальные,Вулканические,29,Снег,Доступны,Установлены,Низкая,Пассивные
"41.789337999761685, 161.04936798079882",7.90096117535121,4.4,Песок,Равнина,Средняя,Нет,Неравномерное,3,Горизонтальные,Тектонические,28,Снег,Не доступны,Установлены,Средняя,Пассивные
"44.02130279464123, 56.62961431939979",39.04791414879418,1.9,Глина,Гора,Средняя,Да,Неравномерное,6,Сдвиговые,Тектонические,49,Дождь,Не доступны,Установлены,Средняя,Пассивные
"47.8285601595958, 71.21605636186274",59.40743297016877,7.7,Скала,Гора,Высокая,Нет,Неравномерное,8,Вертикальные,Волнообразные,23,Пасмурно,Доступны,Установлены,Низкая,Активные
"2.4619188352695955, -158.36077943218584",11.656898784246426,2.0,Песок,Плато,Низкая,Нет,Равномерное,4,Сдвиговые,Тектонические,4,Дождь,Не доступны,Не установлены,Средняя,Активные
"24.49665237985883, 142.1416422902659",45.62933571193612,5.7,Песок,Гора,Высокая,Да,Равномерное,8,Вертикальные,Вулканические,75,Пасмурно,Доступны,Установлены,Высокая,Активные
"36.435847337680514, -117.49305953850111",53.627657579452574,6.5,Гравий,Равнина,Низкая,Да,Равномерное,9,Сдвиговые,Вулканические,30,Дождь,Доступны,Не установлены,Высокая,Активные
"49.032497529525834, 6.585517719431891",2.7036656712390075,4.9,Гравий,Равнина,Низкая,Нет,Равномерное,5,Вертикальные,Волнообразные,67,Дождь,Не доступны,Установлены,Высокая,Активные
"25.715300863485243, 15.791579494404743",57.43894046646295,3.9,Скала,Ложе реки,Средняя,Да,Равномерное,7,Сдвиговые,Волнообразные,80,Солнечно,Не доступны,Не установлены,Низкая,Активные
"2.8139727524662406, -122.66153849643514",59.71839721177324,1.5,Песок,Равнина,Низкая,Нет,Равномерное,10,Сдвиговые,Вулканические,12,Снег,Доступны,Установлены,Низкая,Активные
"71.7709884055819, -104.39690276314722",94.89522947832961,4.6,Глина,Гора,Низкая,Да,Равномерное,2,Сдвиговые,Тектонические,21,Дождь,Не доступны,Установлены,Низкая,Пассивные
"37.25482691496218, 84.84906145020943",9.563451864310807,3.2,Глина,Гора,Низкая,Да,Равномерное,7,Вертикальные,Волнообразные,58,Дождь,Доступны,Не установлены,Высокая,Пассивные
"44.007834977337104, -58.29233556797443",40.07037831008056,1.1,Скала,Ложе реки,Высокая,Нет,Равномерное,1,Горизонтальные,Вулканические,92,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"88.88350429088946, -89.80527137948876",62.88273423412911,5.2,Скала,Ложе реки,Высокая,Нет,Равномерное,9,Вертикальные,Тектонические,53,Снег,Доступны,Установлены,Низкая,Активные
"50.959184057971626, -13.00431545153728",15.775514933426887,6.3,Скала,Гора,Средняя,Да,Неравномерное,5,Вертикальные,Вулканические,21,Пасмурно,Доступны,Установлены,Высокая,Активные
"42.46901925736743, 55.87557048043868",90.5144716018996,6.7,Гравий,Равнина,Средняя,Нет,Неравномерное,6,Горизонтальные,Вулканические,59,Снег,Не доступны,Установлены,Средняя,Активные
"21.58753601397208, -33.64663565522298",56.22186132975749,6.8,Гравий,Плато,Низкая,Нет,Неравномерное,8,Сдвиговые,Волнообразные,89,Солнечно,Доступны,Установлены,Высокая,Активные
"18.270312607324502, -116.4710122717969",34.79200251191469,4.6,Глина,Плато,Высокая,Нет,Равномерное,4,Сдвиговые,Тектонические,67,Снег,Доступны,Не установлены,Высокая,Активные
"81.51317566194375, -88.38793914904392",46.73328043505039,7.7,Глина,Равнина,Высокая,Нет,Равномерное,4,Горизонтальные,Вулканические,38,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"4.617560403371409, -76.1400959414936",65.83010158743127,1.2,Гравий,Равнина,Высокая,Нет,Равномерное,4,Вертикальные,Вулканические,59,Дождь,Не доступны,Установлены,Низкая,Пассивные
"20.341576069923118, 71.93909827977666",15.372627665848807,6.5,Скала,Гора,Средняя,Да,Неравномерное,2,Сдвиговые,Вулканические,49,Дождь,Доступны,Не установлены,Средняя,Пассивные
"81.13243052872701, -36.11761494151375",42.35098799901369,1.9,Песок,Ложе реки,Низкая,Нет,Неравномерное,6,Вертикальные,Тектонические,30,Пасмурно,Не доступны,Не установлены,Средняя,Пассивные
"31.10659067968619, -43.58249782491336",7.447479375133948,4.0,Скала,Гора,Высокая,Нет,Равномерное,1,Горизонтальные,Вулканические,2,Снег,Не доступны,Установлены,Средняя,Пассивные
"18.724586313437932, -150.63502277895424",70.68845648045517,7.7,Глина,Равнина,Высокая,Да,Неравномерное,3,Сдвиговые,Тектонические,78,Снег,Не доступны,Установлены,Средняя,Активные
"33.60469063754412, 91.81804572517353",80.82475110842459,3.7,Песок,Ложе реки,Средняя,Нет,Равномерное,1,Вертикальные,Волнообразные,70,Снег,Доступны,Установлены,Высокая,Пассивные
"13.358601467305672, 120.36426072076085",41.495363577915825,2.1,Песок,Плато,Средняя,Да,Неравномерное,1,Горизонтальные,Вулканические,68,Дождь,Не доступны,Не установлены,Средняя,Активные
"18.16379653928241, -71.2757982879316",56.77727776685466,5.9,Скала,Плато,Средняя,Нет,Неравномерное,1,Сдвиговые,Тектонические,33,Солнечно,Не доступны,Установлены,Низкая,Пассивные
"75.08373544625816, 59.912574971168766",27.10970630894547,2.7,Глина,Гора,Низкая,Нет,Равномерное,3,Вертикальные,Вулканические,19,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"15.780940422216581, 87.79940409075067",13.340560322680917,7.3,Скала,Плато,Высокая,Нет,Равномерное,8,Горизонтальные,Волнообразные,40,Снег,Не доступны,Не установлены,Средняя,Пассивные
"7.6546566782875605, -83.54346204286819",34.35814830342001,3.2,Гравий,Ложе реки,Низкая,Нет,Равномерное,3,Горизонтальные,Волнообразные,75,Солнечно,Доступны,Не установлены,Высокая,Активные
"22.901548108502965, 1.5610850967584327",59.383219719839204,3.2,Глина,Равнина,Низкая,Да,Равномерное,8,Горизонтальные,Тектонические,84,Снег,Доступны,Не установлены,Средняя,Активные
"23.364372774208586, -10.950196639324133",94.07806344921373,6.4,Глина,Гора,Низкая,Да,Неравномерное,3,Сдвиговые,Тектонические,11,Снег,Доступны,Не установлены,Средняя,Активные
"71.6990525331553, -130.66719136649888",43.06704287498441,5.9,Скала,Плато,Средняя,Да,Равномерное,9,Сдвиговые,Тектонические,30,Дождь,Не доступны,Установлены,Высокая,Пассивные
"31.2420613524471, -80.29276418175226",92.03962259346477,2.7,Песок,Ложе реки,Высокая,Да,Неравномерное,5,Вертикальные,Волнообразные,28,Дождь,Не доступны,Установлены,Низкая,Пассивные
"70.54249294366315, -73.46437946775744",11.335342044049323,6.0,Глина,Равнина,Высокая,Да,Равномерное,7,Сдвиговые,Вулканические,87,Дождь,Доступны,Не установлены,Высокая,Активные
"88.60885508400891, 177.59666131918567",53.60499705625031,7.8,Глина,Гора,Средняя,Да,Неравномерное,7,Горизонтальные,Вулканические,8,Дождь,Доступны,Установлены,Средняя,Активные
"12.374531535786085, -14.845766553252247",89.07414346981471,4.7,Гравий,Гора,Средняя,Да,Неравномерное,8,Вертикальные,Вулканические,28,Пасмурно,Доступны,Установлены,Высокая,Активные
"89.26572800470429, 145.3252839664696",68.1461499107662,6.2,Глина,Гора,Высокая,Нет,Неравномерное,2,Вертикальные,Тектонические,26,Пасмурно,Доступны,Не установлены,Высокая,Активные
"81.54860706074281, 100.45524279253675",71.9559328055251,7.9,Песок,Плато,Средняя,Нет,Неравномерное,3,Вертикальные,Тектонические,5,Снег,Доступны,Не установлены,Высокая,Активные
"38.61715775582932, 68.30448878077004",58.39968709555695,6.4,Глина,Равнина,Средняя,Нет,Равномерное,1,Горизонтальные,Волнообразные,60,Снег,Не доступны,Установлены,Средняя,Пассивные
"48.15200683545448, 56.21043855886768",2.8086990170219446,5.1,Гравий,Ложе реки,Средняя,Нет,Неравномерное,7,Вертикальные,Вулканические,82,Снег,Доступны,Установлены,Высокая,Пассивные
"76.7975395053103, -37.90469290530061",59.350970176361116,5.6,Глина,Гора,Средняя,Да,Равномерное,1,Сдвиговые,Тектонические,86,Пасмурно,Доступны,Не установлены,Средняя,Активные
"60.17394954139119, -31.596785648084875",76.49712061994131,7.1,Глина,Плато,Средняя,Нет,Равномерное,7,Вертикальные,Волнообразные,92,Солнечно,Не доступны,Установлены,Высокая,Активные
"56.697824337430326, -143.04546395902588",92.5003403179185,6.4,Гравий,Гора,Средняя,Нет,Равномерное,5,Горизонтальные,Волнообразные,44,Дождь,Не доступны,Не установлены,Средняя,Активные
"89.86210946412078, 91.59847038215219",18.1115183457561,4.4,Скала,Ложе реки,Низкая,Нет,Равномерное,2,Вертикальные,Тектонические,70,Снег,Не доступны,Установлены,Высокая,Пассивные
"14.653194541175921, 129.7002774780509",27.863444458175664,7.9,Глина,Ложе реки,Низкая,Да,Равномерное,7,Вертикальные,Вулканические,72,Дождь,Доступны,Установлены,Средняя,Активные
"35.48193193779815, 110.0817171855445",59.198420609673725,2.0,Песок,Ложе реки,Высокая,Да,Неравномерное,6,Сдвиговые,Вулканические,94,Снег,Не доступны,Не установлены,Высокая,Пассивные
"81.60579661037819, 154.72760563356343",63.827317875408255,7.2,Гравий,Равнина,Средняя,Да,Неравномерное,3,Вертикальные,Волнообразные,51,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
"86.48266378797906, 38.76143716856447",64.35570275741789,2.8,Глина,Равнина,Низкая,Нет,Неравномерное,3,Сдвиговые,Волнообразные,60,Пасмурно,Доступны,Установлены,Низкая,Активные
"25.62291472665529, -6.8576048919707375",1.5330912848522278,1.8,Глина,Плато,Средняя,Да,Равномерное,1,Сдвиговые,Волнообразные,22,Пасмурно,Не доступны,Установлены,Средняя,Активные
